task_id,candidate_budget,status,source
DTLZ1_n7_m3,2000,not_run_compute_budget_stop,phase1_5B_10seed_matrix_only_at_2000
DTLZ1_n7_m3,5000,not_run_compute_budget_stop,phase1_5B_10seed_matrix_only_at_2000
DTLZ1_n7_m3,10000,not_run_compute_budget_stop,phase1_5B_10seed_matrix_only_at_2000
DTLZ1_n7_m3,20000,not_run_compute_budget_stop,phase1_5B_10seed_matrix_only_at_2000
DTLZ2_n7_m3,2000,not_run_compute_budget_stop,phase1_5B_10seed_matrix_only_at_2000
DTLZ2_n7_m3,5000,not_run_compute_budget_stop,phase1_5B_10seed_matrix_only_at_2000
DTLZ2_n7_m3,10000,not_run_compute_budget_stop,phase1_5B_10seed_matrix_only_at_2000
DTLZ2_n7_m3,20000,not_run_compute_budget_stop,phase1_5B_10seed_matrix_only_at_2000
ZDT1_n10_m2,2000,not_run_compute_budget_stop,phase1_5B_10seed_matrix_only_at_2000
ZDT1_n10_m2,5000,not_run_compute_budget_stop,phase1_5B_10seed_matrix_only_at_2000
ZDT1_n10_m2,10000,not_run_compute_budget_stop,phase1_5B_10seed_matrix_only_at_2000
ZDT1_n10_m2,20000,not_run_compute_budget_stop,phase1_5B_10seed_matrix_only_at_2000
ZDT1_n20_m2,2000,not_run_compute_budget_stop,phase1_5B_10seed_matrix_only_at_2000
ZDT1_n20_m2,5000,not_run_compute_budget_stop,phase1_5B_10seed_matrix_only_at_2000
ZDT1_n20_m2,10000,not_run_compute_budget_stop,phase1_5B_10seed_matrix_only_at_2000
ZDT1_n20_m2,20000,not_run_compute_budget_stop,phase1_5B_10seed_matrix_only_at_2000
ZDT2_n10_m2,2000,not_run_compute_budget_stop,phase1_5B_10seed_matrix_only_at_2000
ZDT2_n10_m2,5000,not_run_compute_budget_stop,phase1_5B_10seed_matrix_only_at_2000
ZDT2_n10_m2,10000,not_run_compute_budget_stop,phase1_5B_10seed_matrix_only_at_2000
ZDT2_n10_m2,20000,not_run_compute_budget_stop,phase1_5B_10seed_matrix_only_at_2000
ZDT3_n20_m2,2000,not_run_compute_budget_stop,phase1_5B_10seed_matrix_only_at_2000
ZDT3_n20_m2,5000,not_run_compute_budget_stop,phase1_5B_10seed_matrix_only_at_2000
ZDT3_n20_m2,10000,not_run_compute_budget_stop,phase1_5B_10seed_matrix_only_at_2000
ZDT3_n20_m2,20000,not_run_compute_budget_stop,phase1_5B_10seed_matrix_only_at_2000
ZDT4_n10_m2,2000,not_run_compute_budget_stop,phase1_5B_10seed_matrix_only_at_2000
ZDT4_n10_m2,5000,not_run_compute_budget_stop,phase1_5B_10seed_matrix_only_at_2000
ZDT4_n10_m2,10000,not_run_compute_budget_stop,phase1_5B_10seed_matrix_only_at_2000
ZDT4_n10_m2,20000,not_run_compute_budget_stop,phase1_5B_10seed_matrix_only_at_2000
ZDT6_n20_m2,2000,not_run_compute_budget_stop,phase1_5B_10seed_matrix_only_at_2000
ZDT6_n20_m2,5000,not_run_compute_budget_stop,phase1_5B_10seed_matrix_only_at_2000
ZDT6_n20_m2,10000,not_run_compute_budget_stop,phase1_5B_10seed_matrix_only_at_2000
ZDT6_n20_m2,20000,not_run_compute_budget_stop,phase1_5B_10seed_matrix_only_at_2000
