category,ci95_high,ci95_low,family,intervention_id,mean,mean_delta_IGD,median,n,problem,state,std,task_id,tolerance
mutation,0.021545329229733498,-0.012318961105706237,ZDT,mutation_prob_01,0.003970909305395305,-0.014952661426342186,-0.005655803717846363,10,ZDT1,neutral,0.02928077415671597,ZDT1_n10_m2,0.01
mutation,0.027982056835377238,-0.0011876025860055144,ZDT,mutation_prob_03,0.01239528987186419,-0.022220201387301762,0.0032062013075461566,10,ZDT1,neutral,0.02426876474737085,ZDT1_n10_m2,0.01
mutation,0.03445702351642982,0.002993062035957325,ZDT,mutation_prob_04,0.017811920786941306,-0.03159462999200023,0.003511960234337846,10,ZDT1,neutral,0.027414889514603125,ZDT1_n10_m2,0.01
mutation,0.026322324370434146,-0.006684088333307624,ZDT,mutation_prob_05,0.00909631845676006,-0.025194494985127845,-0.003947460665706282,10,ZDT1,neutral,0.02820082840459296,ZDT1_n10_m2,0.01
mutation,0.041420201459466836,0.007730379603578924,ZDT,mutation_eta_01,0.023815776711768714,-0.03614036534123309,0.010420912923912784,10,ZDT1,neutral,0.028761331171324168,ZDT1_n10_m2,0.01
mutation,0.040761858760286575,0.00790008301380205,ZDT,mutation_eta_02,0.023371495074239447,-0.035519538550543336,0.007949829512424246,10,ZDT1,neutral,0.028888983938625917,ZDT1_n10_m2,0.01
mutation,0.03452463968385688,0.004100842226262891,ZDT,mutation_eta_03,0.018577025688500514,-0.03175476537409437,0.004810301666471733,10,ZDT1,neutral,0.026114200629596917,ZDT1_n10_m2,0.01
mutation,0.023374305388312682,-0.015996994632368266,ZDT,mutation_eta_04,0.003304583082009485,-0.015731129146389765,-0.006742058261877584,10,ZDT1,neutral,0.034157987071541156,ZDT1_n10_m2,0.01
mutation,-0.022946990123683723,-0.09929190656901724,ZDT,mutation_eta_05,-0.05824342418637472,0.06933899819159915,-0.042430299914366434,10,ZDT1,negative,0.0658470680625637,ZDT1_n10_m2,0.01
crossover,-0.016445358717030147,-0.03759280336184534,ZDT,crossover_prob_01,-0.02661096478722491,0.021788449653847748,-0.022521544684999444,10,ZDT1,negative,0.018220591244810284,ZDT1_n10_m2,0.01
crossover,0.016040153147856902,-0.01988337814606746,ZDT,crossover_prob_02,-0.0023358996523448186,0.0029207102518749284,-0.001475563447992259,10,ZDT1,neutral,0.02866700989597651,ZDT1_n10_m2,0.01
crossover,0.01836482679512005,0.003074213161118911,ZDT,crossover_prob_03,0.009232517214023362,-0.014737577467498528,0.0068706661652956115,10,ZDT1,neutral,0.01303022120842318,ZDT1_n10_m2,0.01
crossover,0.039420868167099214,0.00723736684809647,ZDT,crossover_eta_01,0.02265309601660808,-0.03526993950469165,0.009144117670418818,10,ZDT1,neutral,0.027799872271413496,ZDT1_n10_m2,0.01
crossover,0.028202353042780008,-0.02905047912681376,ZDT,crossover_eta_02,0.0018626275825790947,-0.0005214734545865242,0.003761463125050122,10,ZDT1,neutral,0.049039418017420726,ZDT1_n10_m2,0.01
crossover,0.02246397732302026,-0.014955202463580987,ZDT,crossover_eta_03,0.0031450216419749684,-0.005045401747854488,-0.005266293707767983,10,ZDT1,neutral,0.03320627856331543,ZDT1_n10_m2,0.01
crossover,0.014381426167009085,-0.015179057634325095,ZDT,crossover_eta_04,-0.00176246797732246,0.004767166817792376,-0.00021300752260949613,10,ZDT1,neutral,0.024750738863243485,ZDT1_n10_m2,0.01
selection,0.020757485401971497,-0.012347226713216865,ZDT,selection_tournament_01,0.0026328908074554824,-0.0022934863826995474,0.0008064707487571287,10,ZDT1,neutral,0.028980376305280258,ZDT1_n10_m2,0.01
selection,0.03536586867669143,-0.006659675330897269,ZDT,selection_tournament_02,0.015164966920528138,-0.02146581595471886,0.00995829008758246,10,ZDT1,neutral,0.03531173276030225,ZDT1_n10_m2,0.01
selection,0.036884905900292086,0.004848470210514421,ZDT,selection_tournament_03,0.01987721931011723,-0.031712190044960835,0.007989816949121875,10,ZDT1,neutral,0.02784569214892197,ZDT1_n10_m2,0.01
